Title (Address),Area (sq-ft),Price (Cr)
"2 BHK Flat for Sale in Promont By Sheth Realty and Aakshaya Realty, Sion, Mumbai",684 sqft,"₹
2.07 Cr"
"2 BHK Flat for Sale in The Dynamix Luma, Andheri East, Mumbai",735 sqft,"₹
2.50 Cr"
"2 BHK Flat for Sale in Dream Aspire, Andheri West, Mumbai",713 sqft,"₹
2.38 Cr"
"2 BHK Flat for Sale in Vihang Luxuria, Mira Road East, Mumbai",684 sqft,"₹
1.21 Cr"
"2 BHK Flat for Sale in RNA NG Grand Empire, Navghar Road, Mumbai",580 sqft,"₹
1.11 Cr"
"3 BHK Flat for Sale in Shapoorji Pallonji The Odyssey 1, Girgaon, Mumbai",1155 sqft,"₹
14.13 Cr"
"3 BHK Flat for Sale in Edmont Aurelia, Kandivali West, Mumbai",1009 sqft,"₹
2.96 Cr"
"2 BHK Flat for Sale in Evershine Amavi 303, Virar West, Mumbai",612 sqft,"₹
65.5 Lac"
"2 BHK Flat for Sale in Rivali Park, Borivali East, Mumbai",930 sqft,"₹
3.03 Cr"
"3 BHK Flat for Sale in Hiranandani Empress Hill, Powai, Mumbai",1380 sqft,"₹
5.85 Cr"
"3 BHK Flat for Sale in Advent Neel, Vile Parle West, Mumbai",1002 sqft,"₹
7.01 Cr"
"2 BHK Flat for Sale in Sunteck City 4th Avenue, Goregaon West, Mumbai",866 sqft,"₹
2.74 Cr"
"2 BHK Flat for Sale in Lodha Woods, Kandivali East, Mumbai",653 sqft,"₹
1.89 Cr"
"2 BHK Flat for Sale in Kalpataru Radiance, Goregaon West, Mumbai",881 sqft,"₹
3.08 Cr"
"3 BHK Flat for Sale in Kailas Sadan, Vile Parle West, Mumbai",1220 sqft,"₹
6.25 Cr"
"3 BHK Flat for Sale in Lodha Aura, Wadala, Mumbai",1309 sqft,"₹
5.03 Cr"
"2 BHK Flat for Sale in Godrej Reserve, Kandivali East, Mumbai",750 sqft,"₹
2.21 Cr"
"3 BHK Flat for Sale in Atharv Aaradhyam, Vile Parle East, Mumbai",905 sqft,"₹
4.83 Cr"
"3 BHK Flat for Sale in Lodha Fiorenza, Goregaon East, Mumbai",1081 sqft,"₹
4.45 Cr"
"2 BHK Flat for Sale in Romell Ariana, Borivali West, Mumbai",734 sqft,"₹
2.22 Cr"
"3 BHK Flat for Sale in Paranjape Athena, Bandra East, Mumbai",894 sqft,"₹
3.44 Cr"
"3 BHK Flat for Sale in Radius 10 BKC, Bandra Kurla Complex, Mumbai",1204 sqft,"₹
6.74 Cr"
"2 BHK Flat for Sale in Piramal Revanta, Mulund West, Mumbai",854 sqft,"₹
2.42 Cr"
"3 BHK Flat for Sale in Kalpataru Amare, Juhu, Mumbai",1405 sqft,"₹
8.89 Cr"
"3 BHK Flat for Sale in Piramal Aranya , Byculla, Mumbai",1420 sqft,"₹
7.24 Cr"
"2 BHK Apartment for Sale in Sushanku Avenue 37, Goregaon West Mumbai",613 sqft,"₹
1.50 Cr"
"3 BHK Apartment for Sale in Rising Sun Midtown Bay, Mahim Mumbai",820 sqft,"₹
4.75 Cr"
"3 BHK Apartment for Sale in Rustomjee Crown, Prabhadevi Mumbai",1483 sqft,"₹
10.62 Cr"
"3 BHK Apartment for Sale in Kalpataru Srishti Namaah, Mira Road Area Mumbai",979 sqft,"₹
2.03 Cr"
"2 BHK Apartment for Sale in Kamla Borivali Lucky, Borivali West Mumbai",707 sqft,"₹
2.10 Cr"
"3 BHK Apartment for Sale in Shraddha Elite, Borivali West Mumbai",1029 sqft,"₹
3.53 Cr"
2 BHK Apartment for Sale in Mulund West Mumbai,1040 sqft,"₹
3.10 Cr"
"3 BHK Apartment for Sale in Lodha Divino, Matunga East Mumbai",1290 sqft,"₹
5.99 Cr"
"3 BHK Apartment for Sale in Oberoi Sky City, Borivali East Mumbai",1320 sqft,"₹
5.78 Cr"
"3 BHK Apartment for Sale in Roha Eva Aria, Chembur East Mumbai",1248 sqft,"₹
3.73 Cr"
"3 BHK Apartment for Sale in Ajmera Manhattan, Wadala Mumbai",1122 sqft,"₹
4.26 Cr"
"3 BHK Apartment for Sale in Borivali Project, Borivali West Mumbai",1313 sqft,"₹
3.88 Cr"
"2 BHK Apartment for Sale in Sayba Olympia, Kurla West Mumbai",716 sqft,"₹
1.57 Cr"
"3 BHK Apartment for Sale in Bhoomi Simana, Parel Mumbai",1143 sqft,"₹
5.51 Cr"
"3 BHK Apartment for Sale in Gagansagar, Borivali West Mumbai",1052 sqft,"₹
2.72 Cr"
"3 BHK Apartment for Sale in The Gateway, Sewri Mumbai",1445 sqft,"₹
7.20 Cr"
"3 BHK Apartment for Sale in Prestige Forest Hills, Mulund West Mumbai",1338 sqft,"₹
2.82 Cr"
